title,amount,severity,project,description
660,1,4,1, <br>Override "equals(Object obj)" to comply with the contract of the "compareTo(T o)" method.
665,176,2,1, <br>Move this variable to comply with Java Code Conventions.<br>Move this constructor to comply with Java Code Conventions.
667,3,2,1, <br>Move constants to a class or enum.
673,10,3,1, <br>Make tagData a static final constant or non-public and provide accessors if needed.<br>Make reinterpolated a static final constant or non-public and provide accessors if needed.<br>Make VERBOSE a static final constant or non-public and provide accessors if needed.<br>Make DEFAULT_REFRESH_PERIOD a static final constant or non-public and provide accessors if needed.<br>Make label a static final constant or non-public and provide accessors if needed.<br>Make DEFAULT_NUMBER_OF_NODES a static final constant or non-public and provide accessors if needed.<br>Make noFeedback a static final constant or non-public and provide accessors if needed.<br>Make stdout a static final constant or non-public and provide accessors if needed.<br>Make className a static final constant or non-public and provide accessors if needed.<br>Make BINDNAME a static final constant or non-public and provide accessors if needed.
677,2,3,1, <br>Identical sub-expressions on both sides of operator "||"
679,15,3,1, <br>Replace this usage of Sun classes by ones from the Java API.
680,241,2,1, <br>Define a constant instead of duplicating this literal "first child" 3 times.<br>Define a constant instead of duplicating this literal "Problem retrieving gui" 4 times.<br>Define a constant instead of duplicating this literal "<P>\n" 3 times.<br>Define a constant instead of duplicating this literal "The node should be a link tag" 3 times.<br>Define a constant instead of duplicating this literal "Hello" 7 times.<br>Define a constant instead of duplicating this literal "script" 3 times.<br>Define a constant instead of duplicating this literal "     */" 8 times.<br>Define a constant instead of duplicating this literal "Param1" 4 times.<br>Define a constant instead of duplicating this literal "should be Tag" 12 times.<br>Define a constant instead of duplicating this literal "<BODY>\n" 3 times.<br>Define a constant instead of duplicating this literal "Beanshell Interpreter not found" 3 times.<br>Define a constant instead of duplicating this literal ": class is not found" 3 times.<br>Define a constant instead of duplicating this literal "Problem retrieving gui for " 4 times.<br>Define a constant instead of duplicating this literal "***************************************" 8 times.<br>Define a constant instead of duplicating this literal "http://www.yahoo.com/ghi" 3 times.<br>Define a constant instead of duplicating this literal "HTML Raw String" 11 times.<br>Define a constant instead of duplicating this literal "    /**" 8 times.<br>Define a constant instead of duplicating this literal " superseded by " 3 times.<br>Define a constant instead of duplicating this literal "propType" 3 times.<br>Define a constant instead of duplicating this literal "starting line position" 10 times.<br>Define a constant instead of duplicating this literal "http://a/b/c/g" 3 times.<br>Define a constant instead of duplicating this literal "<CUSTOM>something</CUSTOM>" 3 times.<br>Define a constant instead of duplicating this literal "<TEST>\n" 3 times.<br>Define a constant instead of duplicating this literal "Type=" 3 times.<br>Define a constant instead of duplicating this literal "Links" 3 times.<br>Define a constant instead of duplicating this literal "</dn>" 3 times.<br>Define a constant instead of duplicating this literal "extracted text" 4 times.<br>Define a constant instead of duplicating this literal "Bad pattern" 3 times.<br>Define a constant instead of duplicating this literal "<CUSTOM></CUSTOM>" 4 times.<br>Define a constant instead of duplicating this literal "Link Text" 3 times.<br>Define a constant instead of duplicating this literal "Node should be a HTMLRemarkNode but was " 4 times.<br>Define a constant instead of duplicating this literal "Label" 9 times.<br>Define a constant instead of duplicating this literal "if(navigator.appName.indexOf(\"Netscape\") != -1)\r\n" 3 times.<br>Define a constant instead of duplicating this literal "<!--\n" 4 times.<br>Define a constant instead of duplicating this literal "Node identified should be HTMLLinkTag" 3 times.<br>Define a constant instead of duplicating this literal "Link URL of link tag" 3 times.<br>Define a constant instead of duplicating this literal "Node 0 should be Form Tag" 5 times.<br>Define a constant instead of duplicating this literal "Bad class element = " 6 times.<br>Define a constant instead of duplicating this literal "second node" 3 times.<br>Define a constant instead of duplicating this literal "Node identified should be HTMLImageTag" 10 times.<br>Define a constant instead of duplicating this literal "Existing Manager " 3 times.<br>Define a constant instead of duplicating this literal "<HEAD><META name=\"title\" content=\"Training Introduction\">\n" 3 times.<br>Define a constant instead of duplicating this literal "<custom>\n" 4 times.<br>Define a constant instead of duplicating this literal "</SCRIPT>" 4 times.<br>Define a constant instead of duplicating this literal "http://www.yahoo.com" 7 times.<br>Define a constant instead of duplicating this literal "HTMLParser.openConnection() : Error in opening a connection to " 3 times.<br>Define a constant instead of duplicating this literal "</td>" 5 times.<br>Define a constant instead of duplicating this literal "Link Text of link tag" 3 times.<br>Define a constant instead of duplicating this literal "First String node contents" 3 times.<br>Define a constant instead of duplicating this literal "submit" 3 times.<br>Define a constant instead of duplicating this literal "Node should be a HTMLRemarkNode" 3 times.<br>Define a constant instead of duplicating this literal "HEIGHT" 3 times.<br>Define a constant instead of duplicating this literal "Node should be a HTMLLinkTag" 8 times.<br>Define a constant instead of duplicating this literal "   Whats gonna happen now ?\n" 3 times.<br>Define a constant instead of duplicating this literal "Label Scanner" 4 times.<br>Define a constant instead of duplicating this literal "http://www.google.com/test/index.html" 3 times.<br>Define a constant instead of duplicating this literal "attribute 1" 7 times.<br>Define a constant instead of duplicating this literal "LDAP: error code" 4 times.<br>Define a constant instead of duplicating this literal "<someTag></someTag>" 4 times.<br>Define a constant instead of duplicating this literal "</Custom>" 4 times.<br>Define a constant instead of duplicating this literal "        return (ret.toString ())-" 3 times.<br>Define a constant instead of duplicating this literal "property" 4 times.<br>Define a constant instead of duplicating this literal "HTML String" 11 times.<br>Define a constant instead of duplicating this literal "  URI:    :" 3 times.<br>Define a constant instead of duplicating this literal "Title" 3 times.<br>Define a constant instead of duplicating this literal "<TR><TD ALIGN=\"center\">&nbsp-</TD></TR>\n" 6 times.<br>Define a constant instead of duplicating this literal "Error processing logging config " 6 times.<br>Define a constant instead of duplicating this literal "</HTML>\n" 3 times.<br>Define a constant instead of duplicating this literal "http://normallink.com/sometext.html" 5 times.<br>Define a constant instead of duplicating this literal "Third node has incorrect text" 6 times.<br>Define a constant instead of duplicating this literal "        StringBuffer ret-" 3 times.<br>Define a constant instead of duplicating this literal "------------------------------" 3 times.<br>Define a constant instead of duplicating this literal "remote_start_all" 3 times.<br>Define a constant instead of duplicating this literal "property" 7 times.<br>Define a constant instead of duplicating this literal "<META name=\"subject\" content=\"\">\n" 3 times.<br>Define a constant instead of duplicating this literal "java.class.path" 5 times.<br>Define a constant instead of duplicating this literal "</CUSTOM>" 3 times.<br>Define a constant instead of duplicating this literal "jms_request" 4 times.<br>Define a constant instead of duplicating this literal "<!-- saved from url=(0022)http://internet.e-mail -->\n" 3 times.<br>Define a constant instead of duplicating this literal "child count" 15 times.<br>Define a constant instead of duplicating this literal "Remark Node contents" 4 times.<br>Define a constant instead of duplicating this literal "<custom>" 12 times.<br>Define a constant instead of duplicating this literal "</tr></table></div>\n" 8 times.<br>Define a constant instead of duplicating this literal "<TR><TD ALIGN=\"center\">&nbsp-</TD></TR>\r\n" 3 times.<br>Define a constant instead of duplicating this literal "Header count=" 3 times.<br>Define a constant instead of duplicating this literal "unbind" 3 times.<br>Define a constant instead of duplicating this literal "YOURPARAMETER" 3 times.<br>Define a constant instead of duplicating this literal "</custom>" 11 times.<br>Define a constant instead of duplicating this literal "  line:    " 3 times.<br>Define a constant instead of duplicating this literal "Error invoking bsh method " 12 times.<br>Define a constant instead of duplicating this literal "Second Element" 4 times.<br>Define a constant instead of duplicating this literal "rename" 3 times.<br>Define a constant instead of duplicating this literal "http://www.yle.fi/" 3 times.<br>Define a constant instead of duplicating this literal "current state is " 3 times.<br>Define a constant instead of duplicating this literal "<binddn>" 3 times.<br>Define a constant instead of duplicating this literal "LI tags found" 3 times.<br>Define a constant instead of duplicating this literal "starting loc" 13 times.<br>Define a constant instead of duplicating this literal "� is the division sign." 4 times.<br>Define a constant instead of duplicating this literal "compare" 3 times.<br>Define a constant instead of duplicating this literal "</FORM>" 4 times.<br>Define a constant instead of duplicating this literal "collection" 3 times.<br>Define a constant instead of duplicating this literal "Body Scanner" 4 times.<br>Define a constant instead of duplicating this literal "Expected Image" 3 times.<br>Define a constant instead of duplicating this literal "JMeter Save Service" 3 times.<br>Define a constant instead of duplicating this literal "jndi_method_button_reflect" 4 times.<br>Define a constant instead of duplicating this literal "Error loading class " 10 times.<br>Define a constant instead of duplicating this literal "Tag Contents" 3 times.<br>Define a constant instead of duplicating this literal "Node 1 should be INPUT Tag" 3 times.<br>Define a constant instead of duplicating this literal "Cancel" 3 times.<br>Define a constant instead of duplicating this literal "</td>" 4 times.<br>Define a constant instead of duplicating this literal "child" 4 times.<br>Define a constant instead of duplicating this literal "Expected Link" 5 times.<br>Define a constant instead of duplicating this literal " document.write ('xxx')-\r\n" 3 times.<br>Define a constant instead of duplicating this literal "<HEAD>\n" 3 times.<br>Define a constant instead of duplicating this literal "  Message: " 3 times.<br>Define a constant instead of duplicating this literal "entrydn" 3 times.<br>Define a constant instead of duplicating this literal "Sixth node should be a HTMLRemarkNode" 3 times.<br>Define a constant instead of duplicating this literal "WIDTH" 3 times.<br>Define a constant instead of duplicating this literal "Expected contents" 4 times.<br>Define a constant instead of duplicating this literal "</binddn></operation>" 3 times.<br>Define a constant instead of duplicating this literal "http.proxyPort" 3 times.<br>Define a constant instead of duplicating this literal "http://www.google.com/test/index.html" 4 times.<br>Define a constant instead of duplicating this literal "Wrong encoding" 4 times.<br>Define a constant instead of duplicating this literal "toHtml()" 4 times.<br>Define a constant instead of duplicating this literal "CUSTOM" 3 times.<br>Define a constant instead of duplicating this literal "Expected Link" 3 times.<br>Define a constant instead of duplicating this literal "Link incorrect!!" 3 times.<br>Define a constant instead of duplicating this literal "search" 3 times.<br>Define a constant instead of duplicating this literal "Error processing Javascript" 3 times.<br>Define a constant instead of duplicating this literal "HTML String" 13 times.<br>Define a constant instead of duplicating this literal "Node should be a tag" 7 times.<br>Define a constant instead of duplicating this literal "</BODY>\n" 3 times.<br>Define a constant instead of duplicating this literal "-------------------------------\n" 3 times.<br>Define a constant instead of duplicating this literal "first custom tag html" 7 times.<br>Define a constant instead of duplicating this literal "Node should be a HTMLLinkTag" 11 times.<br>Define a constant instead of duplicating this literal "The division sign (�) is �" 4 times.<br>Define a constant instead of duplicating this literal "https:h" 6 times.<br>Define a constant instead of duplicating this literal "http://www.cj.com/" 6 times.<br>Define a constant instead of duplicating this literal "<HTML>\n" 6 times.<br>Define a constant instead of duplicating this literal "The image locn" 4 times.<br>Define a constant instead of duplicating this literal "Modify" 3 times.<br>Define a constant instead of duplicating this literal "Label value" 3 times.<br>Define a constant instead of duplicating this literal "Hello World" 4 times.<br>Define a constant instead of duplicating this literal "First Element" 6 times.<br>Define a constant instead of duplicating this literal "http://a/g" 4 times.<br>Define a constant instead of duplicating this literal "sbind" 3 times.<br>Define a constant instead of duplicating this literal "Invalid daemon port" 3 times.<br>Define a constant instead of duplicating this literal "CONTENT" 7 times.<br>Define a constant instead of duplicating this literal "error on " 4 times.<br>Define a constant instead of duplicating this literal "http.proxyHost" 3 times.<br>Define a constant instead of duplicating this literal "Link Plain Text" 6 times.<br>Define a constant instead of duplicating this literal "</script>" 3 times.<br>Define a constant instead of duplicating this literal "Node should be a script tag" 5 times.<br>Define a constant instead of duplicating this literal "custom tag should be xml end tag" 4 times.<br>Define a constant instead of duplicating this literal "ending loc" 13 times.<br>Define a constant instead of duplicating this literal "Vector Size" 4 times.<br>Define a constant instead of duplicating this literal "Foo\n" 3 times.<br>Define a constant instead of duplicating this literal "        }" 5 times.<br>Define a constant instead of duplicating this literal "Search" 3 times.<br>Define a constant instead of duplicating this literal "Collapse" 3 times.<br>Define a constant instead of duplicating this literal "    }" 8 times.<br>Define a constant instead of duplicating this literal "Can't register a converter: " 7 times.<br>Define a constant instead of duplicating this literal "Somik" 4 times.<br>Define a constant instead of duplicating this literal "Can't instantiate BeanShell" 4 times.<br>Define a constant instead of duplicating this literal "Welcome to HTMLParser" 4 times.<br>Define a constant instead of duplicating this literal "attribute 2" 7 times.<br>Define a constant instead of duplicating this literal "http://www.google.com/test.html" 3 times.<br>Define a constant instead of duplicating this literal "            }" 4 times.<br>Define a constant instead of duplicating this literal "<table>" 4 times.<br>Define a constant instead of duplicating this literal "Third node should be a string node" 6 times.<br>Define a constant instead of duplicating this literal "VALUE" 3 times.<br>Define a constant instead of duplicating this literal "class" 3 times.<br>Define a constant instead of duplicating this literal "<Custom>" 7 times.<br>Define a constant instead of duplicating this literal "            {" 4 times.<br>Define a constant instead of duplicating this literal "Not Applicable" 3 times.<br>Define a constant instead of duplicating this literal "Thread " 7 times.<br>Define a constant instead of duplicating this literal "[\"']" 4 times.<br>Define a constant instead of duplicating this literal "Contents of the tag" 3 times.<br>Define a constant instead of duplicating this literal "<Custom/>" 8 times.<br>Define a constant instead of duplicating this literal "testelement" 4 times.<br>Define a constant instead of duplicating this literal "</HEAD>\n" 3 times.<br>Define a constant instead of duplicating this literal "Delete" 3 times.<br>Define a constant instead of duplicating this literal "First node should be HTMLStringNode" 3 times.<br>Define a constant instead of duplicating this literal "browse" 3 times.<br>Define a constant instead of duplicating this literal "        {" 5 times.<br>Define a constant instead of duplicating this literal "</tr>\n" 4 times.<br>Define a constant instead of duplicating this literal "Look and Feel unavailable:" 4 times.<br>Define a constant instead of duplicating this literal "Node should be a HTMLImageTag" 6 times.<br>Define a constant instead of duplicating this literal "Node contents" 5 times.<br>Define a constant instead of duplicating this literal "</table>" 4 times.<br>Define a constant instead of duplicating this literal "INBOX" 3 times.<br>Define a constant instead of duplicating this literal "two tags different" 3 times.<br>Define a constant instead of duplicating this literal "Expected nodes" 4 times.<br>Define a constant instead of duplicating this literal "</TEST>\n" 3 times.<br>Define a constant instead of duplicating this literal "    {" 8 times.<br>Define a constant instead of duplicating this literal "Kaarle's homepage" 3 times.<br>Define a constant instead of duplicating this literal "Value" 4 times.<br>Define a constant instead of duplicating this literal "http://www.yahoo.com/abc/def/mypic.jpg" 3 times.<br>Define a constant instead of duplicating this literal " document.write ('yyy')-\r\n" 3 times.<br>Define a constant instead of duplicating this literal "-->\n" 3 times.<br>Define a constant instead of duplicating this literal "Error parsing function: " 3 times.<br>Define a constant instead of duplicating this literal "http://transfer.go.com" 3 times.<br>Define a constant instead of duplicating this literal "First node should be a HTMLRemarkNode" 3 times.<br>Define a constant instead of duplicating this literal "<another>" 4 times.<br>Define a constant instead of duplicating this literal "<tr>\n" 4 times.<br>Define a constant instead of duplicating this literal "Unclosed" 3 times.<br>Define a constant instead of duplicating this literal "**Parsing Warning**\n" 3 times.<br>Define a constant instead of duplicating this literal "else\r\n" 3 times.<br>Define a constant instead of duplicating this literal "Expected HTML" 5 times.<br>Define a constant instead of duplicating this literal "<Custom>\n" 4 times.<br>Define a constant instead of duplicating this literal "http://www.yahoo.com" 4 times.<br>Define a constant instead of duplicating this literal "Link incorrect" 3 times.<br>Define a constant instead of duplicating this literal "Forward" 3 times.<br>Define a constant instead of duplicating this literal "attribute" 3 times.<br>Define a constant instead of duplicating this literal "custom tag should not be xml end tag" 10 times.<br>Define a constant instead of duplicating this literal "/cgi-bin/view_search?query_text=postdate>20020701&txt_clr=White&bg_clr=Red&url=http://localhost/Testing/Report1.html" 3 times.<br>Define a constant instead of duplicating this literal "Invalid call sequence" 5 times.<br>Define a constant instead of duplicating this literal "Number of Adjustments" 5 times.<br>Define a constant instead of duplicating this literal "332820" 9 times.<br>Define a constant instead of duplicating this literal "<table width=128 height=96 border=0 cellpadding=0 cellspacing=0><tr valign=\"top\">\n" 3 times.<br>Define a constant instead of duplicating this literal "first node" 3 times.<br>Define a constant instead of duplicating this literal "script code" 4 times.<br>Define a constant instead of duplicating this literal "http://htmlparser.sourceforge.net/test/example.html" 6 times.<br>Define a constant instead of duplicating this literal "This should never happen." 3 times.<br>Define a constant instead of duplicating this literal "        int length-" 3 times.<br>Define a constant instead of duplicating this literal "</Custom>" 7 times.<br>Define a constant instead of duplicating this literal "ending line position" 10 times.<br>Define a constant instead of duplicating this literal "text/xml" 3 times.<br>Define a constant instead of duplicating this literal "jndi_lookup_name" 5 times.<br>Define a constant instead of duplicating this literal "Should be a HTMLFormTag" 3 times.
682,2,3,1, <br>Extend "java.lang.Exception" or one of its subclasses.
683,984,3,1, <br>This block of commented-out lines of code should be removed.
686,89,2,1, <br>Move the array designator from the variable to the type.
687,4,3,1, <br>Extract this nested code block into a method.
689,5,4,1, <br>Make this array "private".
690,3,4,1, <br>This loop's stop condition tests "hasNext()" but the incrementer updates "i".
692,6,3,1, <br>Remove this empty statement.
697,1,2,1, <br>Replace this "switch" statement by "if" statements to increase readability.
699,455,3,1, <br>Replace this usage of System.out or System.err by a logger.
700,6,3,1, <br>Cast one of the operands of this substraction operation to a "float".<br>Cast one of the operands of this multiplication operation to a "long".<br>Cast one of the operands of this division operation to a "long".
704,4,4,1, <br>Remove this hard-coded password.
705,7,3,1, <br>Extract the assignment out of this expression.
708,10,3,1, <br>Refactor this method to throw at most one checked exception instead of: .- java.lang.ClassNotFoundException- java.lang.IllegalAccessException- java.lang.InstantiationException<br>Refactor this method to throw at most one checked exception instead of: java.rmi.RemoteException- .<br>Refactor this method to throw at most one checked exception instead of: javax.xml.parsers.ParserConfigurationException- org.xml.sax.SAXException- java.io.IOException<br>Refactor this method to throw at most one checked exception instead of: java.io.IOException- java.lang.ClassNotFoundException<br>Refactor this method to throw at most one checked exception instead of: org.xml.sax.SAXException- java.io.IOException<br>Refactor this method to throw at most one checked exception instead of: javax.xml.parsers.ParserConfigurationException- org.xml.sax.SAXException<br>Refactor this method to throw at most one checked exception instead of: java.lang.InstantiationException- java.lang.IllegalAccessException<br>Refactor this method to throw at most one checked exception instead of: java.io.IOException- .<br>Refactor this method to throw at most one checked exception instead of: java.net.MalformedURLException- java.io.IOException- java.net.ProtocolException
709,15,3,1, <br>Reduce the total number of break and continue statement in this loop to use at most one.
710,455,3,1, <br>Add the "@Override" annotation above this method signature
715,18,3,1, <br>Add the missing @Deprecated annotation.
720,10,4,1, <br>Either remove this useless object instantiation of class "RemoteJMeterEngineImpl" or use it<br>Either remove this useless object instantiation of class "Integer" or use it<br>Either remove this useless object instantiation of class "FocusRequester" or use it
726,6,3,1, <br>Make this "catClass" field final.<br>Make this "savedCause" field final.<br>Make this "throwable" field final.
727,382,3,1, <br>Either log or rethrow this exception.
729,22,3,1, <br>Return an empty collection instead of null.<br>Return an empty array instead of null.
733,15,3,1, <br>Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.
